"zip","city","county","pop"
"23866","Ivor","Southampton","2100"
"24593","Spout Spring","Appomattox","2089"
"24085","Eagle Rock","Botetourt","2088"
"24069","Cascade","Pittsylvania","2087"
"24162","Shawsville","Montgomery","2086"
"23043","Deltaville","Middlesex","2073"
"22922","Arrington","Nelson","2058"
"22952","Lyndhurst","Augusta","2053"
"24571","Lynch Station","Campbell","2045"
"23881","Spring Grove","Surry","2031"
"23460","Virginia Beach","Virginia Beach City","2029"
"23867","Jarratt","Sussex","2018"
"23954","Meherrin","Prince Edward","2012"
"23883","Surry","Surry","2009"
"24138","Pilot","Montgomery","2005"
"24225","Cleveland","Russell","1995"
"23047","Doswell","Hanover","1990"
"24128","Newport","Giles","1987"
"24243","Dryden","Lee","1984"
"23148","Saint Stephens Church","King And Queen","1980"
"22660","Toms Brook","Shenandoah","1955"
"23308","Bloxom","Accomack","1921"
"24070","Catawba","Roanoke","1917"
"22742","Sumerduck","Fauquier","1916"
"23821","Alberta","Brunswick","1914"
"24472","Raphine","Rockbridge","1900"
"24290","Weber City","Scott","1883"
"23123","New Canton","Buckingham","1874"
"24079","Copper Hill","Floyd","1800"
"23175","Urbanna","Middlesex","1800"
"23438","Suffolk","Suffolk City","1771"
"22830","Fulks Run","Rockingham","1769"
"23038","Columbia","Goochland","1762"
"24324","Draper","Pulaski","1757"
"22610","Bentonville","Warren","1756"
"23410","Melfa","Accomack","1727"
"24347","Hiwassee","Pulaski","1714"
"24312","Austinville","Wythe","1708"
"23806","Petersburg","Petersburg City","1707"
"22967","Roseland","Nelson","1702"
"24375","Sugar Grove","Smyth","1697"
"23065","Gum Spring","Goochland","1685"
"23827","Boykins","Southampton","1669"
"24598","Virgilina","Halifax","1668"
"24258","Hiltons","Scott","1651"
"23882","Stony Creek","Sussex","1651"
"23071","Hartfield","Middlesex","1641"
"22969","Schuyler","Nelson","1639"
"24102","Henry","Franklin","1633"
"24122","Montvale","Bedford","1629"
"23921","Buckingham","Buckingham","1627"
"24471","Port Republic","Rockingham","1627"
"23156","Shacklefords","King And Queen","1625"
"24311","Atkins","Smyth","1624"
"22454","Dunnsville","Essex","1618"
"22738","Rochelle","Madison","1587"
"23301","Accomac","Accomack","1580"
"22713","Boston","Culpeper","1567"
"24328","Fancy Gap","Carroll","1562"
"24594","Sutherlin","Pittsylvania","1557"
"20137","Broad Run","Fauquier","1534"
"24314","Bastian","Bland","1522"
"24479","Swoope","Augusta","1521"
"24534","Clover","Halifax","1509"
"22971","Shipman","Nelson","1505"
"22460","Farnham","Richmond","1495"
"23415","New Church","Accomack","1489"
"23432","Suffolk","Suffolk City","1473"
"23084","Kents Store","Fluvanna","1472"
"24460","Millboro","Bath","1457"
"22663","White Post","Clarke","1433"
"24553","Gladstone","Nelson","1430"
"24635","Pocahontas","Tazewell","1430"
"24250","Fort Blackmore","Scott","1426"
"22959","North Garden","Albemarle","1423"
"22940","Free Union","Albemarle","1418"
"22469","Hague","Westmoreland","1412"
"24579","Natural Bridge Station","Rockbridge","1406"
"24465","Monterey","Highland","1388"
"24176","Union Hall","Franklin","1387"
"23356","Greenbackville","Accomack","1380"
"24120","Meadows Of Dan","Patrick","1367"
"24526","Big Island","Bedford","1366"
"23959","Phenix","Charlotte","1364"
"23942","Green Bay","Prince Edward","1353"
"24363","Mouth Of Wilson","Grayson","1350"
"24165","Spencer","Henry","1350"
"22938","Faber","Nelson","1349"
"23315","Carrsville","Isle Of Wight","1346"
"22652","Fort Valley","Shenandoah","1339"
"23011","Barhamsville","New Kent","1334"
"23035","Cobbs Creek","Mathews","1333"
"23830","Carson","Dinwiddie","1331"
"24076","Claudville","Patrick","1330"
"23459","Virginia Beach","Virginia Beach City","1330"
"24530","Callands","Pittsylvania","1315"
"23960","Prospect","Prince Edward","1287"
"24350","Ivanhoe","Wythe","1286"
"24326","Elk Creek","Grayson","1286"
"22709","Aroda","Madison","1276"
"22949","Lovingston","Nelson","1269"
"23850","Ford","Dinwiddie","1268"
"24147","Rich Creek","Giles","1264"
"23915","Baskerville","Mecklenburg","1253"
"23153","Sandy Hook","Goochland","1246"
"24352","Laurel Fork","Carroll","1243"
"24566","Keeling","Pittsylvania","1218"
"24439","Goshen","Rockbridge","1208"
"22715","Brightwood","Madison","1204"
"22729","Mitchells","Culpeper","1199"
"22437","Center Cross","Essex","1192"
"22211","Ft Myer","Arlington","1185"
"23022","Bremo Bluff","Fluvanna","1180"
"24226","Clinchco","Dickenson","1165"
"20143","Catharpin","Prince William","1156"
"24599","Wingina","Nelson","1131"
"23433","Suffolk","Suffolk City","1129"
"23359","Hallwood","Accomack","1128"
"23846","Elberon","Surry","1127"
"22832","Keezletown","Rockingham","1122"
"22831","Hinton","Rockingham","1119"
"22850","Singers Glen","Rockingham","1113"
"22740","Sperryville","Rappahannock","1103"
"24473","Rockbridge Baths","Rockbridge","1102"
"23418","Onley","Accomack","1100"
"22733","Rapidan","Culpeper","1100"
"23027","Cartersville","Cumberland","1090"
"24597","Vernon Hill","Halifax","1088"
"23169","Topping","Middlesex","1086"
"22488","Kinsale","Westmoreland","1084"
"24378","Trout Dale","Grayson","1068"
"24072","Check","Floyd","1067"
"22834","Linville","Rockingham","1063"
"23964","Red Oak","Charlotte","1051"
"22511","Lottsburg","Northumberland","1050"
"23106","Manquin","King William","1044"
"23436","Suffolk","Suffolk City","1038"
"24569","Long Island","Campbell","1035"
"22714","Brandy Station","Culpeper","1032"
"23413","Nassawadox","Northampton","1029"
"23967","Saxe","Charlotte","1026"
"23878","Sedley","Southampton","1016"
"22654","Star Tannery","Frederick","999"
"23039","Crozier","Goochland","994"
"23055","Fork Union","Fluvanna","989"
"24323","Crockett","Wythe","981"
"20144","Delaplane","Fauquier","964"
"24565","Java","Pittsylvania","964"
"24280","Rosedale","Russell","958"
"24578","Natural Bridge","Rockbridge","955"
"24237","Dante","Russell","922"
"23442","Temperanceville","Accomack","915"
"23856","Freeman","Brunswick","910"
"24325","Dugspur","Carroll","907"
"24220","Birchleaf","Dickenson","897"
"23303","Atlantic","Accomack","890"
"24282","Saint Charles","Lee","890"
"22125","Occoquan","Prince William","888"
"23551","Norfolk","Norfolk City","880"
"24622","Jewell Ridge","Tazewell","878"
"22935","Dyke","Greene","876"
"22747","Washington","Rappahannock","872"
"24059","Bent Mountain","Roanoke","872"
"23405","Machipongo","Northampton","858"
"23050","Dutton","Gloucester","852"
"23076","Hudgins","Mathews","831"
"23874","Newsoms","Southampton","831"
"22847","Quicksburg","Shenandoah","828"
"23004","Arvonia","Buckingham","824"
"24245","Dungannon","Scott","818"
"23839","Dendron","Surry","818"
"22623","Chester Gap","Rappahannock","817"
"22810","Basye","Shenandoah","811"
"22718","Elkwood","Culpeper","802"
"22627","Flint Hill","Rappahannock","801"
"24603","Big Rock","Buchanan","795"
"24313","Barren Springs","Wythe","789"
"22976","Tyro","Nelson","789"
"24646","Rowe","Buchanan","785"
"23306","Belle Haven","Accomack","776"
"23357","Greenbush","Accomack","770"
"24150","Ripplemead","Giles","769"
"23407","Mappsville","Accomack","768"
"24077","Cloverdale","Botetourt","757"
"22726","Lignum","Culpeper","744"
"22720","Goldvein","Fauquier","744"
"24272","Nora","Dickenson","738"
"22736","Richardsville","Culpeper","737"
"24437","Fort Defiance","Augusta","729"
"24374","Speedwell","Wythe","720"
"23128","North","Mathews","717"
"23092","Locust Hill","Middlesex","690"
"23709","Portsmouth","Portsmouth City","689"
"24265","Keokee","Lee","680"
"23085","King And Queen Court Hous","King And Queen","678"
"23347","Eastville","Northampton","678"
"24602","Bandy","Tazewell","676"
"22480","Irvington","Lancaster","675"
"23879","Skippers","Greensville","674"
"24082","Critz","Patrick","659"
"23857","Gasburg","Brunswick","658"
"20184","Upperville","Fauquier","655"
"22448","Dahlgren","King George","649"
"24366","Rocky Gap","Bland","647"
"23180","Water View","Middlesex","636"
"23129","Oilville","Goochland","632"
"22811","Bergton","Rockingham","628"
"22716","Castleton","Rappahannock","626"
"22650","Rileyville","Page","621"
"20129","Paeonian Springs","Loudoun","618"
"24020","Roanoke","Roanoke","613"
